"source_file","original_name","standardized_name"
"h216.xlsx","FAMID19","FAMID"
"h216.xlsx","RULETR19","RULETR"
"h216.xlsx","RUSIZE19","RUSIZE"
"h216.xlsx","RUCLAS19","RUCLAS"
"h216.xlsx","FAMSZE19","FAMSZE"
"h216.xlsx","REGION19","REGION"
"h216.xlsx","REFPRS19","REFPRS"
"h216.xlsx","RESP19","RESP"
"h216.xlsx","PROXY19","PROXY"
"h216.xlsx","ENDRFM19","ENDRFM"
"h216.xlsx","ENDRFY19","ENDRFY"
"h216.xlsx","INSCOP19","INSCOP"
"h216.xlsx","ELGRND19","ELGRND"
"h216.xlsx","AGE19X","AGEX"
"h216.xlsx","MARRY19X","MARRYX"
"h216.xlsx","SPOUID19","SPOUID"
"h216.xlsx","SPOUIN19","SPOUIN"
"h216.xlsx","FTSTU19X","FTSTUX"
"h216.xlsx","REFRL19X","REFRLX"
"h216.xlsx","ANYLMI19","ANYLMI"
"h216.xlsx","DDNWRK19","DDNWRK"
"h216.xlsx","OTHDYS19","OTHDYS"
"h216.xlsx","OTHNDD19","OTHNDD"
"h216.xlsx","FILEDR19","FILEDR"
"h216.xlsx","WILFIL19","WILFIL"
"h216.xlsx","FLSTAT19","FLSTAT"
"h216.xlsx","FILER19","FILER"
"h216.xlsx","JTINRU19","JTINRU"
"h216.xlsx","JNTPID19","JNTPID"
"h216.xlsx","TAXFRM19","TAXFRM"
"h216.xlsx","FOODST19","FOODST"
"h216.xlsx","FOODMN19","FOODMN"
"h216.xlsx","FOODVL19","FOODVL"
"h216.xlsx","TTLP19X","TTLPX"
"h216.xlsx","FAMINC19","FAMINC"
"h216.xlsx","POVCAT19","POVCAT"
"h216.xlsx","POVLEV19","POVLEV"
"h216.xlsx","WAGEP19X","WAGEPX"
"h216.xlsx","WAGIMP19","WAGIMP"
"h216.xlsx","BUSNP19X","BUSNPX"
"h216.xlsx","BUSIMP19","BUSIMP"
"h216.xlsx","UNEMP19X","UNEMPX"
"h216.xlsx","UNEIMP19","UNEIMP"
"h216.xlsx","WCMPP19X","WCMPPX"
"h216.xlsx","WCPIMP19","WCPIMP"
"h216.xlsx","INTRP19X","INTRPX"
"h216.xlsx","INTIMP19","INTIMP"
"h216.xlsx","DIVDP19X","DIVDPX"
"h216.xlsx","DIVIMP19","DIVIMP"
"h216.xlsx","SALEP19X","SALEPX"
"h216.xlsx","SALIMP19","SALIMP"
"h216.xlsx","PENSP19X","PENSPX"
"h216.xlsx","PENIMP19","PENIMP"
"h216.xlsx","SSECP19X","SSECPX"
"h216.xlsx","SSCIMP19","SSCIMP"
"h216.xlsx","TRSTP19X","TRSTPX"
"h216.xlsx","TRTIMP19","TRTIMP"
"h216.xlsx","VETSP19X","VETSPX"
"h216.xlsx","VETIMP19","VETIMP"
"h216.xlsx","IRASP19X","IRASPX"
"h216.xlsx","IRAIMP19","IRAIMP"
"h216.xlsx","ALIMP19X","ALIMPX"
"h216.xlsx","ALIIMP19","ALIIMP"
"h216.xlsx","CHLDP19X","CHLDPX"
"h216.xlsx","CHLIMP19","CHLIMP"
"h216.xlsx","CASHP19X","CASHPX"
"h216.xlsx","CSHIMP19","CSHIMP"
"h216.xlsx","SSIP19X","SSIPX"
"h216.xlsx","SSIIMP19","SSIIMP"
"h216.xlsx","PUBP19X","PUBPX"
"h216.xlsx","PUBIMP19","PUBIMP"
"h216.xlsx","OTHRP19X","OTHRPX"
"h216.xlsx","OTHIMP19","OTHIMP"
"h216.xlsx","TRIJA19X","TRIJAX"
"h216.xlsx","TRIFE19X","TRIFEX"
"h216.xlsx","TRIMA19X","TRIMAX"
"h216.xlsx","TRIAP19X","TRIAPX"
"h216.xlsx","TRIMY19X","TRIMYX"
"h216.xlsx","TRIJU19X","TRIJUX"
"h216.xlsx","TRIJL19X","TRIJLX"
"h216.xlsx","TRIAU19X","TRIAUX"
"h216.xlsx","TRISE19X","TRISEX"
"h216.xlsx","TRIOC19X","TRIOCX"
"h216.xlsx","TRINO19X","TRINOX"
"h216.xlsx","TRIDE19X","TRIDEX"
"h216.xlsx","MCRJA19","MCRJA"
"h216.xlsx","MCRFE19","MCRFE"
"h216.xlsx","MCRMA19","MCRMA"
"h216.xlsx","MCRAP19","MCRAP"
"h216.xlsx","MCRMY19","MCRMY"
"h216.xlsx","MCRJU19","MCRJU"
"h216.xlsx","MCRJL19","MCRJL"
"h216.xlsx","MCRAU19","MCRAU"
"h216.xlsx","MCRSE19","MCRSE"
"h216.xlsx","MCROC19","MCROC"
"h216.xlsx","MCRNO19","MCRNO"
"h216.xlsx","MCRDE19","MCRDE"
"h216.xlsx","MCRJA19X","MCRJAX"
"h216.xlsx","MCRFE19X","MCRFEX"
