"max_depth","eta","min_child_weight","subsample","colsample_bytree","gamma","reg_alpha","reg_lambda","config_id","val_rmse","val_rmsle","best_nrounds","rank"
10,0.05,5,0.9,0.9,0,0.1,5,118,24527.1370184954,3.99477715118222,1,1
10,0.05,1,0.6,0.6,0.5,0.1,5,38,24534.629182321,3.99498338622406,1,2
10,0.05,3,1,0.6,2,0.1,25,43,24541.941230516,3.99532030716047,1,3
8,0.05,40,1,0.6,2,0.1,5,56,24521.2411565697,3.99540152905115,1,4
7,0.05,10,1,1,0,0,10,68,24530.7469693162,3.99560872822042,1,5
8,0.05,40,1,0.6,0.5,0.01,5,61,24524.1114419133,3.99566290910915,1,6
7,0.05,1,0.6,0.75,0.5,0.1,25,94,24541.0818953257,3.99599051207424,1,7
6,0.05,5,0.9,0.6,0.5,0.01,5,54,24526.546778083,3.99627091168602,1,8
6,0.05,40,0.75,0.75,2,0.01,25,67,24536.2416794064,3.99658241026389,1,9
5,0.05,5,0.6,1,2,0,5,24,24533.1560864303,3.99660595471199,1,10
6,0.05,5,0.6,0.6,2,0,50,47,24548.1465710262,3.99707011812765,1,11
4,0.05,40,0.75,0.9,0,0.1,1,97,24534.5715621057,3.9971708264444,1,12
4,0.05,1,1,0.9,2,0,25,39,24542.7462446505,3.99732529313316,1,13
4,0.05,3,0.6,1,0.5,0,50,104,24545.447566339,3.99736822411108,1,14
4,0.05,10,0.75,0.6,0.5,0.1,5,15,24541.8608201249,3.99767906553252,1,15
3,0.05,40,0.9,0.9,1,0.1,25,69,24548.4901857752,3.99800281475561,1,16
3,0.05,20,1,0.6,0.5,0,1,105,24549.5919262226,3.99813296300498,1,17
3,0.05,20,0.6,0.9,0.5,0.01,5,27,24549.6799727236,3.99818626977055,1,18
3,0.05,10,0.6,0.9,0,0,1,74,24553.670097522,3.99846080806377,1,19
3,0.05,3,1,1,1,0.1,10,96,24558.5207776762,3.99859626017318,1,20
3,0.05,10,0.75,0.6,2,0.01,5,80,24557.2700474514,3.99964105699485,1,21
10,0.03,1,0.75,0.9,0.5,0,10,37,24589.6356391139,4.00533235134777,1,22
10,0.03,1,0.75,0.75,0.5,0.1,25,22,24589.5407669355,4.00547332748117,1,23
7,0.03,10,0.75,0.75,0,0,5,77,24579.9768717639,4.00565656826991,1,24
8,0.03,20,1,0.6,0.5,0,10,25,24584.9304701924,4.00569940806058,1,25
8,0.03,1,0.6,0.75,0,0.01,25,35,24590.3749846316,4.00571853728598,1,26
7,0.03,20,0.75,0.9,0.5,0.01,10,60,24581.3985663101,4.00575990003215,1,27
7,0.03,3,1,1,0.5,0.1,10,23,24584.6841481071,4.00578825438237,1,28
7,0.03,3,0.9,1,2,0.1,25,44,24588.0295716853,4.00585164060977,1,29
7,0.03,1,0.75,0.75,0.5,0.1,50,41,24590.0555391029,4.0059040064115,1,30
6,0.03,5,1,0.9,2,0.01,5,120,24582.6630728419,4.00599980198316,1,31
7,0.03,10,0.9,0.6,2,0,5,52,24583.1904327946,4.00608413324774,1,32
6,0.03,1,0.6,1,2,0.1,25,98,24589.96994213,4.00610669888826,1,33
6,0.03,10,0.6,0.6,0.5,0,5,58,24587.5032808662,4.00621284356041,1,34
6,0.03,3,0.75,0.75,0.5,0,1,116,24582.9754864624,4.0062164378157,1,35
6,0.03,5,1,0.6,1,0.1,10,63,24588.0322646173,4.00627150457857,1,36
5,0.03,10,0.6,0.75,0.5,0.1,5,42,24585.1552624032,4.00642171122283,1,37
5,0.03,1,0.9,1,1,0.01,5,46,24586.6950824811,4.00647340639505,1,38
5,0.03,5,1,0.9,0,0,25,102,24588.8820234924,4.00647761668321,1,39
4,0.03,20,1,0.75,2,0.01,10,53,24589.3146654232,4.00670124017955,1,40
4,0.03,5,0.9,0.75,2,0.01,5,21,24591.437291756,4.00671158454467,1,41
4,0.03,10,0.9,0.9,0,0,10,76,24591.2800908539,4.00673564636109,1,42
4,0.03,20,0.75,0.75,2,0.1,50,88,24592.4414878895,4.00678447185645,1,43
4,0.03,40,0.75,0.6,0.5,0,50,115,24593.2714335833,4.0068581558725,1,44
4,0.03,5,0.9,0.75,0.5,0.1,10,32,24591.5300814941,4.00688547475702,1,45
3,0.03,40,1,0.9,0.5,0.01,25,73,24596.771896739,4.00720784650354,1,46
3,0.03,20,0.9,0.75,2,0,25,90,24596.3667593016,4.0072093437879,1,47
3,0.03,20,0.6,0.6,1,0.1,25,40,24595.6004356439,4.00749746536147,1,48
10,0.02,5,0.75,0.75,0.5,0,1,50,24605.2274320619,4.01050160574005,1,49
10,0.02,10,1,0.6,0,0,1,114,24604.0853899046,4.01053388443607,1,50
10,0.02,40,0.75,0.75,0.5,0.01,25,92,24614.8329481137,4.01072200458728,1,51
8,0.02,20,0.9,0.75,2,0.01,25,29,24615.8286752599,4.01081537814793,1,52
8,0.02,5,0.9,0.6,0.5,0,10,79,24612.6442548853,4.01082061559327,1,53
8,0.02,10,0.6,0.9,2,0.1,5,71,24612.4067712464,4.01083615704317,1,54
7,0.02,1,0.9,1,0,0,10,28,24612.0397482276,4.01084038363283,1,55
8,0.02,1,0.9,0.6,0,0.1,1,84,24609.8725930283,4.01091024905076,1,56
7,0.02,5,0.6,0.9,0.5,0,10,26,24615.0958366525,4.01092961291923,1,57
7,0.02,20,1,0.75,2,0.01,25,82,24613.753591238,4.01093624647238,1,58
6,0.02,10,0.9,1,0.5,0.01,5,107,24611.0991404221,4.01095241456504,1,59
6,0.02,20,0.75,1,2,0,10,55,24612.1542062387,4.01102301311984,1,60
7,0.02,10,1,0.6,0,0,50,87,24616.3367831477,4.01108893607512,1,61
7,0.02,3,0.6,0.6,0.5,0.1,25,34,24619.3429244856,4.0111721775279,1,62
6,0.02,3,0.9,1,1,0.01,1,49,24612.2224002399,4.01119402714782,1,63
5,0.02,40,0.6,0.6,1,0.01,1,45,24611.0832465001,4.01120094183597,1,64
5,0.02,3,0.9,0.75,1,0.01,50,106,24615.3895832264,4.01131539898563,1,65
5,0.02,1,0.75,0.6,1,0.01,5,57,24613.624158534,4.01140999512142,1,66
4,0.02,1,0.9,1,0,0,50,101,24617.9227853847,4.01150517587171,1,67
5,0.02,3,0.75,0.6,0.5,0.1,10,113,24616.5165472145,4.01152533018842,1,68
4,0.02,20,0.6,0.6,1,0.01,5,17,24616.9845397252,4.01166272765301,1,69
3,0.02,3,0.9,0.9,0.5,0.01,50,20,24620.9889961393,4.01175846939434,1,70
3,0.02,5,0.9,0.75,0.5,0.1,10,111,24620.6509397269,4.01177782210272,1,71
